,date,Zone_A,Zone_B,Zone_C,Corse,Guadeloupe,Réunion,Martinique,Guyane,Mayotte
0,2023-01-01,1,1,1,1,1,1,1,1,1
1,2023-01-02,1,1,1,1,1,1,1,1,1
2,2023-01-03,0,0,0,0,0,1,0,0,1
3,2023-01-04,0,0,0,0,0,1,0,0,1
4,2023-01-05,0,0,0,0,0,1,0,0,1
5,2023-01-06,0,0,0,0,0,1,0,0,1
6,2023-01-07,0,0,0,0,0,1,0,0,1
7,2023-01-08,0,0,0,0,0,1,0,0,1
8,2023-01-09,0,0,0,0,0,1,0,0,0
9,2023-01-10,0,0,0,0,0,1,0,0,0
10,2023-01-11,0,0,0,0,0,1,0,0,0
11,2023-01-12,0,0,0,0,0,1,0,0,0
12,2023-01-13,0,0,0,0,0,1,0,0,0
13,2023-01-14,0,0,0,0,0,1,0,0,0
14,2023-01-15,0,0,0,0,0,1,0,0,0
15,2023-01-16,0,0,0,0,0,1,0,0,0
16,2023-01-17,0,0,0,0,0,1,0,0,0
17,2023-01-18,0,0,0,0,0,1,0,0,0
18,2023-01-19,0,0,0,0,0,1,0,0,0
19,2023-01-20,0,0,0,0,0,1,0,0,0
20,2023-01-21,0,0,0,0,0,1,0,0,0
21,2023-01-22,0,0,0,0,0,1,0,0,0
22,2023-01-23,0,0,0,0,0,0,0,0,0
23,2023-01-24,0,0,0,0,0,0,0,0,0
24,2023-01-25,0,0,0,0,0,0,0,0,0
25,2023-01-26,0,0,0,0,0,0,0,0,0
26,2023-01-27,0,0,0,0,0,0,0,0,0
27,2023-01-28,0,0,0,0,0,0,0,0,0
28,2023-01-29,0,0,0,0,0,0,0,0,0
29,2023-01-30,0,0,0,0,0,0,0,0,0
30,2023-01-31,0,0,0,0,0,0,0,0,0
31,2023-02-01,0,0,0,0,0,0,0,0,0
32,2023-02-02,0,0,0,0,0,0,0,0,0
33,2023-02-03,1,0,0,0,0,0,0,0,0
34,2023-02-04,1,0,0,0,0,0,0,0,0
35,2023-02-05,1,0,0,0,0,0,0,0,0
36,2023-02-06,1,0,0,0,0,0,0,0,0
37,2023-02-07,1,0,0,0,0,0,0,0,0
38,2023-02-08,1,0,0,0,0,0,0,0,0
39,2023-02-09,1,0,0,0,0,0,0,0,0
40,2023-02-10,1,1,0,0,1,0,1,0,0
41,2023-02-11,1,1,0,0,1,0,1,0,0
42,2023-02-12,1,1,0,0,1,0,1,0,0
43,2023-02-13,1,1,0,0,1,0,1,0,0
44,2023-02-14,1,1,0,0,1,0,1,0,0
45,2023-02-15,1,1,0,0,1,0,1,0,0
46,2023-02-16,1,1,0,0,1,0,1,0,0
47,2023-02-17,1,1,1,1,1,0,1,1,1
48,2023-02-18,1,1,1,1,1,0,1,1,1
49,2023-02-19,1,1,1,1,1,0,1,1,1
50,2023-02-20,0,1,1,1,1,0,1,1,1
51,2023-02-21,0,1,1,1,1,0,1,1,1
52,2023-02-22,0,1,1,1,1,0,1,1,1
53,2023-02-23,0,1,1,1,1,0,1,1,1
54,2023-02-24,0,1,1,1,1,0,1,1,1
55,2023-02-25,0,1,1,1,1,0,1,1,1
56,2023-02-26,0,1,1,1,1,0,1,1,1
57,2023-02-27,0,0,1,1,0,0,0,1,1
58,2023-02-28,0,0,1,1,0,0,0,1,1
59,2023-03-01,0,0,1,1,0,0,0,1,1
60,2023-03-02,0,0,1,1,0,0,0,1,1
61,2023-03-03,0,0,1,1,0,0,0,1,1
62,2023-03-04,0,0,1,1,0,0,0,1,1
63,2023-03-05,0,0,1,1,0,0,0,1,1
64,2023-03-06,0,0,0,0,0,0,0,0,0
65,2023-03-07,0,0,0,0,0,0,0,0,0
66,2023-03-08,0,0,0,0,0,0,0,0,0
67,2023-03-09,0,0,0,0,0,0,0,0,0
68,2023-03-10,0,0,0,0,0,1,0,0,0
69,2023-03-11,0,0,0,0,0,1,0,0,0
70,2023-03-12,0,0,0,0,0,1,0,0,0
71,2023-03-13,0,0,0,0,0,1,0,0,0
72,2023-03-14,0,0,0,0,0,1,0,0,0
73,2023-03-15,0,0,0,0,0,1,0,0,0
74,2023-03-16,0,0,0,0,0,1,0,0,0
75,2023-03-17,0,0,0,0,0,1,0,0,0
76,2023-03-18,0,0,0,0,0,1,0,0,0
77,2023-03-19,0,0,0,0,0,1,0,0,0
78,2023-03-20,0,0,0,0,0,1,0,0,0
79,2023-03-21,0,0,0,0,0,1,0,0,0
80,2023-03-22,0,0,0,0,0,1,0,0,0
81,2023-03-23,0,0,0,0,0,1,0,0,0
82,2023-03-24,0,0,0,0,0,1,0,0,0
83,2023-03-25,0,0,0,0,0,1,0,0,0
84,2023-03-26,0,0,0,0,0,1,0,0,0
85,2023-03-27,0,0,0,0,0,0,0,0,0
86,2023-03-28,0,0,0,0,0,0,0,0,0
87,2023-03-29,0,0,0,0,0,0,0,0,0
88,2023-03-30,0,0,0,0,0,0,0,0,0
89,2023-03-31,0,0,0,0,1,0,1,0,0
90,2023-04-01,0,0,0,0,1,0,1,0,0
91,2023-04-02,0,0,0,0,1,0,1,0,0
92,2023-04-03,0,0,0,0,1,0,1,0,0
93,2023-04-04,0,0,0,0,1,0,1,1,0
94,2023-04-05,0,0,0,0,1,0,1,1,0
95,2023-04-06,0,0,0,0,1,0,1,1,0
96,2023-04-07,1,0,0,0,1,0,1,1,0
97,2023-04-08,1,0,0,0,1,0,1,1,0
98,2023-04-09,1,0,0,0,1,0,1,1,0
99,2023-04-10,1,0,0,0,1,0,1,1,0
100,2023-04-11,1,0,0,0,1,0,1,1,0
101,2023-04-12,1,0,0,0,1,0,1,1,0
102,2023-04-13,1,0,0,0,1,0,1,1,0
103,2023-04-14,1,1,0,1,1,0,1,1,0
104,2023-04-15,1,1,0,1,1,0,1,1,0
105,2023-04-16,1,1,0,1,1,0,1,1,0
106,2023-04-17,1,1,0,1,0,0,0,1,0
107,2023-04-18,1,1,0,1,0,0,0,1,0
108,2023-04-19,1,1,0,1,0,0,0,1,0
109,2023-04-20,1,1,0,1,0,0,0,0,0
110,2023-04-21,1,1,1,1,0,0,0,0,1
111,2023-04-22,1,1,1,1,0,0,0,0,1
112,2023-04-23,1,1,1,1,0,0,0,0,1
113,2023-04-24,0,1,1,1,0,0,0,0,1
114,2023-04-25,0,1,1,1,0,0,0,0,1
115,2023-04-26,0,1,1,1,0,0,0,0,1
116,2023-04-27,0,1,1,1,0,0,0,0,1
117,2023-04-28,0,1,1,1,0,0,0,0,1
118,2023-04-29,0,1,1,1,0,0,0,0,1
119,2023-04-30,0,1,1,1,0,0,0,0,1
120,2023-05-01,0,1,1,1,0,0,0,0,1
121,2023-05-02,0,0,1,0,0,0,0,0,1
122,2023-05-03,0,0,1,0,0,0,0,0,1
123,2023-05-04,0,0,1,0,0,0,0,0,1
124,2023-05-05,0,0,1,0,0,0,0,0,1
125,2023-05-06,0,0,1,0,0,0,0,0,1
126,2023-05-07,0,0,1,0,0,0,0,0,1
127,2023-05-08,0,0,1,0,0,0,0,0,0
128,2023-05-09,0,0,0,0,0,0,0,0,0
129,2023-05-10,0,0,0,0,0,0,0,0,0
130,2023-05-11,0,0,0,0,0,0,0,0,0
131,2023-05-12,0,0,0,0,0,1,0,0,0
132,2023-05-13,0,0,0,0,0,1,0,0,0
133,2023-05-14,0,0,0,0,0,1,0,0,0
134,2023-05-15,0,0,0,0,0,1,0,0,0
135,2023-05-16,0,0,0,0,0,1,0,0,0
136,2023-05-17,0,0,0,0,0,1,0,0,0
137,2023-05-18,0,0,0,0,0,1,0,0,0
138,2023-05-19,0,0,0,0,0,1,0,0,0
139,2023-05-20,0,0,0,0,0,1,0,0,0
140,2023-05-21,0,0,0,0,0,1,0,0,0
141,2023-05-22,0,0,0,0,0,1,0,0,0
142,2023-05-23,0,0,0,0,0,1,0,0,0
143,2023-05-24,0,0,0,0,0,1,0,0,0
144,2023-05-25,0,0,0,0,0,1,0,0,0
145,2023-05-26,0,0,0,0,0,1,0,0,0
146,2023-05-27,0,0,0,0,0,1,0,0,0
147,2023-05-28,0,0,0,0,0,1,0,0,0
148,2023-05-29,0,0,0,0,0,1,0,0,0
149,2023-05-30,0,0,0,0,0,0,0,0,0
150,2023-05-31,0,0,0,0,0,0,0,0,0
151,2023-06-01,0,0,0,0,0,0,0,0,0
152,2023-06-02,0,0,0,0,0,0,0,0,0
153,2023-06-03,0,0,0,0,0,0,0,0,0
154,2023-06-04,0,0,0,0,0,0,0,0,0
155,2023-06-05,0,0,0,0,0,0,0,0,0
