feature,importance
LTExternalDate,39452
LTScheduledTime,19320
flightNumber,17518
FlightNumberNormalized,10654
OperatorFlightNumber,8160
LTExternalTime,3993
SysStopover,3177
AirportPrevious,3103
AirportOrigin,3010
IdAircraftType,1555
IdBusContactType,1403
INT_NbOfSeats_x_FlightNumberNormalized_rolling_week_mean,1349
FlightNumberNormalized_rolling_week_std,1336
FlightNumberNormalized_rolling_week_min,1134
OperatorOACICodeNormalized,1101
FlightNumberNormalized_rolling_week_median,1072
FlightNumberNormalized_rolling_year_std,954
IdTerminalType,927
FlightNumberNormalized_rolling_month_std,887
MOM_FlightNumberNormalized_rolling_week_median_accel_rolling_month,843
Direction_trend_7D_vs_14D_median,823
airlineOACICode,817
FlightNumberNormalized_rolling_week_mean,747
FlightNumberNormalized_rolling_quarter_std,700
FlightNumberNormalized_rolling_semester_std,686
sin_Hour_Of_Week,628
FlightNumberNormalized_trend_7D_vs_14D_median,608
FlightNumberNormalized_rolling_week_max,602
cos_Hour_Of_Week,537
FlightNumberNormalized_lag_1day_mean,532
FlightNumberNormalized_lag_1week_mean,507
FlightNumberNormalized_lag7_win6_median,481
FlightNumberNormalized_trend_7D_vs_14D_mean,475
IdAircraftType_rolling_week_median,470
Direction_rolling_week_median,439
MOM_Direction_rolling_week_mean_accel_rolling_month,430
ServiceCode,428
Direction_trend_7D_vs_14D_mean,405
INT_NbOfSeats_x_Direction_rolling_week_mean,405
FlightNumberNormalized_rolling_year_min,401
FlightNumberNormalized_trend_30D_vs_91D_median,400
FlightNumberNormalized_lag7_win6_min,398
IdAircraftType_rolling_week_std,391
FlightNumberNormalized_rolling_month_median,386
FlightNumberNormalized_lag7_win6_mean,380
FlightNumberNormalized_lag7_win6_std,379
FlightNumberNormalized_trend_14D_vs_30D_median,364
Avg_Pax_Hour_Week,359
Direction_lag_1week_max,350
Direction_rolling_week_std,340
FlightNumberNormalized_rolling_semester_min,340
FlightNumberNormalized_lag7_win6_max,340
airlineOACICode_rolling_week_std,337
MOM_FlightNumberNormalized_rolling_week_mean_accel_rolling_month,336
airlineOACICode_rolling_quarter_std,335
FlightNumberNormalized_trend_14D_vs_30D_std,333
FlightNumberNormalized_rolling_year_median,332
Direction_rolling_week_mean,323
IdAircraftType_rolling_month_std,322
INT_NbOfSeats_x_MOM_FlightNumberNormalized_rolling_week_mean_accel_rolling_month,311
Direction_trend_7D_vs_14D_std,311
INT_NbOfSeats_x_FlightNumberNormalized_trend_7D_vs_14D_mean,305
airlineOACICode_trend_14D_vs_30D_median,303
FlightNumberNormalized_rolling_month_max,300
INT_NbOfSeats_x_Direction_trend_7D_vs_14D_mean,300
Direction_lag_1week_mean,300
INT_NbOfSeats_x_MOM_Direction_rolling_week_mean_accel_rolling_month,296
airlineOACICode_rolling_week_mean,295
IdAircraftType_rolling_semester_std,291
sin_DayOfWeek,288
FlightNumberNormalized_rolling_quarter_min,286
IdBusinessUnitType,285
FlightNumberNormalized_lag_1week_max,284
IdAircraftType_rolling_quarter_std,283
MOM_airlineOACICode_rolling_week_median_accel_rolling_month,282
FlightNumberNormalized_rolling_month_mean,282
MOM_Direction_rolling_week_median_accel_rolling_month,279
Direction_lag91_win20_mean,276
INT_NbOfSeats_x_SysTerminal_rolling_year_mean,276
airlineOACICode_rolling_year_std,275
FlightNumberNormalized_trend_14D_vs_30D_mean,275
FlightNumberNormalized_rolling_quarter_median,274
airlineOACICode_rolling_semester_std,273
IdAircraftType_trend_14D_vs_30D_median,271
Direction_trend_91D_vs_182D_median,270
Direction_trend_14D_vs_30D_median,266
FlightNumberNormalized_rolling_semester_median,266
FlightNumberNormalized_rolling_year_mean,265
Direction_trend_91D_vs_182D_mean,265
Direction_trend_14D_vs_30D_mean,265
Direction_lag_1week_min,265
IdAircraftType_rolling_year_std,264
MOM_FlightNumberNormalized_rolling_week_std_accel_rolling_month,264
INT_NbOfSeats_x_FlightNumberNormalized_lag_1week_mean,263
FlightNumberNormalized_trend_30D_vs_91D_mean,262
MOM_Direction_rolling_week_std_accel_rolling_month,261
SysTerminal_lag_1week_max,259
airlineOACICode_trend_7D_vs_14D_mean,257
airlineOACICode_rolling_month_std,256
cos_Hour,253
INT_NbOfSeats_x_FlightNumberNormalized_rolling_year_mean,246
MOM_IdAircraftType_rolling_week_median_accel_rolling_month,243
FlightNumberNormalized_rolling_quarter_mean,243
INT_NbOfSeats_x_SysTerminal_rolling_week_mean,241
airlineOACICode_trend_14D_vs_30D_mean,239
airlineOACICode_trend_7D_vs_14D_median,237
INT_NbOfSeats_x_SysTerminal_rolling_semester_mean,235
INT_NbOfSeats_x_FlightNumberNormalized_lag7_win6_mean,234
IdAircraftType_rolling_week_max,233
INT_NbOfSeats_x_FlightNumberNormalized_trend_14D_vs_30D_mean,228
INT_NbOfSeats_x_airlineOACICode_rolling_week_mean,227
MOM_airlineOACICode_rolling_week_std_accel_rolling_month,225
airlineOACICode_trend_30D_vs_91D_median,224
INT_NbOfSeats_x_Direction_lag182_win20_mean,222
INT_NbOfSeats_x_FlightNumberNormalized_rolling_month_mean,221
IdAircraftType_rolling_month_median,220
SysTerminal_trend_30D_vs_91D_median,220
Direction_lag7_win6_max,219
airlineOACICode_rolling_week_median,218
Direction_lag7_win6_std,218
IdAircraftType_trend_7D_vs_14D_mean,218
INT_NbOfSeats_x_FlightNumberNormalized_lag_1day_mean,213
IdAircraftType_lag_1week_mean,212
IdAircraftType_rolling_week_mean,211
FlightNumberNormalized_rolling_semester_mean,210
MOM_FlightNumberNormalized_rolling_week_min_accel_rolling_month,209
SysTerminal_lag_1week_mean,209
IdAircraftType_rolling_year_mean,209
INT_NbOfSeats_x_FlightNumberNormalized_trend_182D_vs_365D_mean,208
INT_NbOfSeats_x_MOM_Direction_lag30_win14_mean_short_vs_mid_hist_lag91_win20,206
SysTerminal_trend_7D_vs_14D_median,206
FlightNumberNormalized_rolling_month_min,205
airlineOACICode_trend_91D_vs_182D_std,203
INT_NbOfSeats_x_FlightNumberNormalized_rolling_quarter_mean,203
SysTerminal_trend_7D_vs_14D_mean,203
IdAircraftType_rolling_quarter_median,202
SysTerminal_lag_1week_min,202
FlightNumberNormalized_trend_91D_vs_182D_median,200
IdAircraftType_lag_1day_mean,200
airlineOACICode_rolling_week_max,199
airlineOACICode_trend_7D_vs_14D_std,198
IdAircraftType_trend_7D_vs_14D_median,198
Direction_rolling_week_max,195
airlineOACICode_trend_14D_vs_30D_std,195
INT_NbOfSeats_x_Direction_lag7_win6_mean,195
FlightNumberNormalized_rolling_quarter_max,194
MOM_Direction_rolling_quarter_mean_season_ratio_rolling_year,193
INT_NbOfSeats_x_FlightNumberNormalized_rolling_semester_mean,192
MOM_airlineOACICode_rolling_week_mean_accel_rolling_month,192
Direction_trend_30D_vs_91D_std,191
MOM_FlightNumberNormalized_rolling_quarter_median_season_ratio_rolling_year,191
IdAircraftType_trend_30D_vs_91D_std,191
IdAircraftType_rolling_month_max,190
FlightNumberNormalized_trend_7D_vs_14D_std,190
FlightNumberNormalized_rolling_year_max,190
FlightNumberNormalized_trend_7D_vs_14D_min,190
INT_NbOfSeats_x_MOM_FlightNumberNormalized_rolling_quarter_mean_season_ratio_rolling_year,188
FlightNumberNormalized_trend_7D_vs_14D_max,188
FlightNumberNormalized_trend_30D_vs_91D_std,186
MOM_IdAircraftType_rolling_week_mean_accel_rolling_month,184
IdAircraftType_trend_30D_vs_91D_median,182
airlineOACICode_lag7_win6_std,182
airlineOACICode_trend_91D_vs_182D_mean,182
INT_NbOfSeats_x_SysTerminal_rolling_month_mean,182
INT_NbOfSeats_x_IdAircraftType_trend_14D_vs_30D_mean,181
INT_NbOfSeats_x_IdAircraftType_trend_7D_vs_14D_mean,180
Direction_rolling_month_median,179
INT_NbOfSeats_x_FlightNumberNormalized_trend_30D_vs_91D_mean,179
INT_NbOfSeats_x_airlineOACICode_rolling_semester_mean,178
INT_NbOfSeats_x_MOM_Direction_lag91_win20_mean_year_over_year_lag365_win28,177
SysTerminal_rolling_semester_std,176
Direction_trend_30D_vs_91D_median,176
IdAircraftType_lag_1week_max,176
INT_NbOfSeats_x_Direction_lag91_win20_mean,175
INT_NbOfSeats_x_airlineOACICode_lag_1week_mean,175
Direction_lag7_win6_mean,175
FlightNumberNormalized_trend_91D_vs_182D_mean,173
MOM_IdAircraftType_rolling_week_std_accel_rolling_month,173
IdAircraftType_trend_14D_vs_30D_mean,172
Terminal,170
airlineOACICode_rolling_quarter_median,169
SysTerminal_trend_14D_vs_30D_median,168
airlineOACICode_rolling_semester_median,167
INT_NbOfSeats_x_SysTerminal_lag182_win20_mean,166
INT_NbOfSeats_x_airlineOACICode_trend_7D_vs_14D_mean,166
FlightNumberNormalized_trend_91D_vs_182D_std,166
INT_NbOfSeats_x_MOM_SysTerminal_lag30_win14_mean_short_vs_mid_hist_lag91_win20,165
IdAircraftType_trend_14D_vs_30D_std,165
SysTerminal_rolling_week_mean,164
Direction_lag_1day_max,164
Direction_lag_1week_std,164
IdAircraftType_lag7_win6_std,163
Direction_trend_14D_vs_30D_std,162
INT_NbOfSeats_x_Direction_lag_1week_mean,162
INT_NbOfSeats_x_SysTerminal_lag_1week_mean,162
INT_NbOfSeats_x_SysTerminal_lag91_win20_mean,162
INT_NbOfSeats_x_MOM_airlineOACICode_rolling_week_mean_accel_rolling_month,161
MOM_FlightNumberNormalized_rolling_quarter_mean_season_ratio_rolling_year,161
Direction_lag7_win6_median,161
IdAircraftType_lag_1week_min,160
IdAircraftType_rolling_month_mean,160
INT_NbOfSeats_x_airlineOACICode_rolling_year_mean,159
INT_NbOfSeats_x_IdAircraftType_rolling_week_mean,159
Direction_rolling_month_mean,159
IdAircraftType_rolling_quarter_mean,159
FlightNumberNormalized_lag_1week_min,159
airlineOACICode_trend_182D_vs_365D_std,159
airlineOACICode_trend_30D_vs_91D_mean,158
INT_NbOfSeats_x_SysTerminal_lag_3months_mean,158
SysTerminal_lag_1week_std,157
airlineOACICode_trend_182D_vs_365D_median,156
MOM_FlightNumberNormalized_rolling_quarter_std_season_ratio_rolling_year,156
INT_NbOfSeats_x_SysTerminal_lag_1month_mean,156
MOM_FlightNumberNormalized_rolling_week_median_accel_rolling_month.1,155
INT_NbOfSeats_x_FlightNumberNormalized_trend_91D_vs_182D_mean,155
MOM_SysTerminal_rolling_week_median_accel_rolling_month,154
Direction_lag91_win20_median,154
airlineOACICode_rolling_month_median,153
INT_NbOfSeats_x_SysTerminal_rolling_quarter_mean,152
SysTerminal_rolling_quarter_std,152
airlineOACICode_lag_1week_min,152
